Company,Sector,Activity_Type,mCDR Approach,Description
Captura,Private Sector,RD&D,Direct ocean capture,"Captura uses electrodialysis technology to capture carbon dioxide directly from the ocean. Explore their field trials."
Ebb Carbon,Private Sector,RD&D,Ocean alkalinity enhancement (electrochemical),"Ebb Carbon works on electrochemical based ocean alkalinity enhancement. Explore their field trials in Sequim Bay Washington."
Cyanocapture,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Cyanocapture explores increasing microalgae carbon fixation rates with synthetic biology."
Equatic,Private Sector,RD&D,Direct ocean capture,"Equatic uses an electrolytic process which directly captures carbon dioxide from the ocean converting it into solid carbonate. Explore their field trials in the Port of LA and Singapore."
Banyu Carbon,Private Sector,RD&D,Direct ocean capture,"Banyu Carbon develops technology for direct removal of carbon dioxide with sunlight."
Calcarea,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Calcarea's system takes captured carbon dioxide and converts it into oceanic bicarbonate."
Rewind,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Rewind works to relocate biomass to the deep bottom of the Black Sea to for carbon sequestration."
Carbon to Sea Initiative,Non-Governmental Organization,"Philanthropic funding, Research, Field building","Ocean alkalinity enhancement (electrochemical), Ocean alkalinity enhancement (mineral)","The Carbon to Sea Initiative (founded by Additional Ventures) is a research-focused program and serves as an investment vehicle for supporting high-impact research specifically around ocean alkalinity enhancement. It funds specific projects often by providing grants to universities research institutions and nonprofit organizations involved in advancing mCDR technologies."
Carbon Time,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Carbon Time explores olivine weathering and other aspects of ocean alkalinity enhancement."
SOS Carbon,Private Sector,RD&D,Biomass growing/harvesting/sinking,"SOS Carbon uses sargassum (seaweed) collection and sinking for carbon sequestration."
Running Tide (no longer operating),Private Sector,RD&D,"Biomass growing/harvesting/sinking, Ocean alkalinity enhancement (mineral)","Running Tide used carbon buoys to capture and sink carbon dioxide in the ocean. Explore their field trials in Iceland."
Carboniferous,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Carboniferous works on biomass sinking in anoxic basins."
Vesta,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Vesta uses enhanced weathering of olivine sand for coastal carbon capture. Explore their field trials in Southampton Cape Cod and North Carolina."
Carbon Run,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Carbon Run adds alkalinity to rivers which delivers trapped terrestrial carbon to the ocean for storage."
VyCarb,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"VyCarb uses self-contained alkalinity enhancement systems that store dissolved carbon in water. Explore their field trial on Governors Island."
Capture6,Private Sector,RD&D,Ocean alkalinity enhancement (electrochemical),"Capture6 links direct air capture of CO2 with ocean alkalinity enhancement."
Ephemeral,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Ephemeral Carbon uses alkalinity deployed at coral reefs shellfish fisheries and other habitats."
Planetary Technologies,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"Planetary Technology uses ocean alkalinity enhancement to neutralize carbon dioxide and reduce ocean acidity. Explore their field trials in Chesapeake Bay and Halifax Harbour."
Ocean Alk-Align,Private Sector,MRV (Monitoring Reporting Verification),"Ocean alkalinity enhancement (mineral), Ocean alkalinity enhancement (electrochemical)","Ocean Alk-Align is a research project designed to investigate the efficiency & durability environmental safety and Monitoring Reporting and Verification (MRV) requirements of Ocean Alkalinity Enhancement (OAE)."
CREW Carbon,Private Sector,RD&D,Ocean alkalinity enhancement (mineral),"CREW Carbon adds calcium carbonate to wastewater to convert carbon dioxide into dissolved bicarbonate ions."
Pronoe,Private Sector,RD&D,Ocean alkalinity enhancement (electrochemical),"Pronoe develops automated water treatment systems to remove carbon dioxide from seawater and return an alkaline flow into the ocean."
Samudra,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Samudra works on seaweed-based carbon capture using robotics and artificial intelligence."
Lillianah Technologies,Private Sector,RD&D,Biomass growing/harvesting/sinking,"Lillianah Technologies cultivates diatoms in photobioreactors for eventual carbon storage in marine sediment."
