Trial Name,Leading Organization,Other Leading Organization(s),Organization Type,Primary CDR Method,All CDR Methods,Status,Start of Pilot,End of Pilot,Duration of Pilot,Goals of Pilot / Field Trial,Relevance for Path to Commercial,Planned Sequestration (tons CO2),Sequestration per year (tons CO2/year),Partners or Collaborator,MRV Provider,MRV Strategy,Monitoring Platforms,Measurements,Lessons Learned,Followup Trial Expected,Location,Organization-specific: Input(s),Organization-specific: Output(s),Organization-specific: CDR Location (Requirements),Latitude,longitude,URL
Medium size one hundred ton per year Direct Ocean Capture plant at AltaSea,Captura,,Start-up,Direct Ocean Capture,Direct Ocean Capture,Operating,10/2023,October 2024,Months,"Test 100 tonne/year system, change to seawater instead of artificial seawater in previous lab testing of 100 tonne system.
Providing CO2 to offtake partners who will utilize CO2 rather than sequestering it.","100 tonne trial will significantly inform 1000 tonne trial, from which point it should be more straightforward to scale to commercial.",50,,Southern California Coastal Water Research Project,"Measurement-Internal,Modeling-Internal","Captura approach measures direct stream of CO2 that is removed from seawater. Atmospheric drawdown will rely on modeling. Pilot studies will try to do as many in situ measurements as possible, but at the end of day, models are needed.
We’ll be taking measurements using YSI EXO2 Sonde with temperature, salinity, pH/ORP, dissolved oxygen, total algae (chlorophyll a and blue green algae), and turbidity as well as a Turner C-sense pCO2 sensor. We plan on monitoring continuously in real-time near the discharge port, taking ~daily bottle samples to validate the sensors, and doing monthly sampling transects of the channel. We’ll adjust accordingly as we see what works and what doesn’t.
Additionally, working with Southern California Coastal Water Research Project to conduct modeling simulations of atmospheric drawdown for direct ocean capture.","Bottle samples,Autonomous Buoys","Stream of CO2,Temperature,Salinity,pH,Dissolved oxygen,Turbidity,Total algae",,100 tonne trial in Eastern Quebec in 2024 to validate tech for Canadian commercial deployment,https://goo.gl/maps/SLCxceBxcgNJoFqu5,"Renewable Energy,Seawater","Stream of CO2,De-acidified and decarbonized seawater","Onshore,Offshore,Shallow currents,Renewable energy nearby,Sequestration nearby",33.7310324,-118.2703091,https://capturacorp.com/about/
First of a kind one ton per year Direct Ocean Capture machine at Alta Sea,Captura,,Start-up,Direct Ocean Capture,Direct Ocean Capture,Operating,09/2023,September 2024,Months,"1 tonne/year system built and continuously tested here, considerably informing 100 ton system.",,1,,,"Measurement-Internal,Modeling-Internal","Captura approach measures direct stream of CO2 that is removed from seawater. Atmospheric drawdown will rely on modeling. Pilot studies will try to do as many in situ measurements as possible, but at the end of day, models are needed.
We’ll be taking measurements using YSI EXO2 Sonde with temperature, salinity, pH/ORP, dissolved oxygen, total algae (chlorophyll a and blue green algae), and turbidity as well as a Turner C-sense pCO2 sensor. We plan on monitoring continuously in real-time near the discharge port, taking ~daily bottle samples to validate the sensors, and doing monthly sampling transects of the channel. We’ll adjust accordingly as we see what works and what doesn’t.
Additionally, working with Southern California Coastal Water Research Project to conduct modeling simulations of atmospheric drawdown for direct ocean capture.",,Stream of CO2,,"Tonne trial has moved to AltaSea in LA, USA for continued testing alongside a 100 tonne system",https://goo.gl/maps/SLCxceBxcgNJoFqu5,"Renewable Energy,Seawater","Stream of CO2,De-acidified and decarbonized seawater","Onshore,Offshore,Shallow currents,Renewable energy nearby,Sequestration nearby",33.7310324,-118.2703091,https://capturacorp.com/about/
"Equatic's electrochemical plant at AltaSea, CA",Equatic,,Start-up,Electrochemical Ocean Alkalinity Enhancement ,"Electrochemical Ocean Alkalinity Enhancement,Direct Ocean Capture",Operating,03/2023,December 2024,Months,"Technology derisking, field demonstration, assessment of technoeconomics and unit economics, to establish operational best practices, and learn scale-up and scale-out considerations",Learning to scale up to 10 tonnes CO2/day,150,100,UCLA,"Internal,Certification-Third Party",Primary CDR measured by online turbidity sensors; Secondary CDR measured by comparing ion solutions in solution and solids quantity both in an closed system. MRV process done in house with process certified by third party to get ISO certified,,Turbidity,,,https://goo.gl/maps/SLCxceBxcgNJoFqu5,"Renewable Energy,Seawater,Alkaline solids","Dissolved bicarbonate,Mineral carbonates,Green hydrogen","Onshore,Offshore,Low-cost construction possible,Existing infrastructure available,Suitable ocean conditions (general)",33.7310324,-118.2703091,https://www.equatic.tech/
 Traceability of alkaline plume in San Francisco Bay (NOPP),"University of Hawai'i, Manoa","[C]Worthy,""University of California, Los Angeles"",American University,Ebb Carbon","Academic,Start-up,Focused Research Organization",Electrochemical Ocean Alkalinity Enhancement ,Electrochemical Ocean Alkalinity Enhancement,Approved and Scheduled,TBD,June 2024,Days,"Show traceability of alkaline plume in San Francisco Bay and feed observations into [C]Worthy modeling efforts.
Total project duration of 3 years under the NOPP funding awards

",,N/A,,"[C]Worthy,NOAA,University of Hawaii",,"Use sodium hydroxide and ³He and SF₆ tracer release experiment
		","Boat-based measurements,Bottle samples",,,,https://goo.gl/maps/Utw2ZhX157dyGnb87,"Renewable Energy,Seawater","Alkaline hydroxides,Green hydrogen","Renewable energy nearby,Existing infrastructure available,Offshore",37.8157500,-122.3251111,https://oceanacidification.noaa.gov/fy23-nopp-mcdr-awards/
Kelp Sinking Santa Barbara Basin (580 meters),"University Of California, Santa Barbara",,Academic,,"Biomass Sinking,Biomass Burial,Macroalgae Sequestration,Anoxic Zone Storage",Concluded,05/2023,July 2023,Weeks,Sink small quantities of Macrocystis pyrifera (approx. 7-10 lbs) in the Santa Barbara Basin at approximately 580 meters and retrieve the kelp using HOV Alvin.,,N/A,,"Woods Hole Oceanographic Institutions,""University of California, Los Angeles""",Internal,"MRV is done internally.

Measurements and validation are done by researchers and graduate students at UCSB.

No Sensors were used in this field trial.

No autonomous plateforms were used. HOV Alvin is a submersible belonging to WHOI, NSF and the US NAVY. ","Underwater cameras,Deep-sea cameras,Human Operated Vehicles (HOV)","Hydrogen sulfide concentration,Sulfate,Pore water geochemistry,Carbon content of sediments,Other,Degradation rates",,,https://maps.app.goo.gl/Ve4d3RdvMaoi33zz6,,,,34.2618000,-120.0309000,https://seaweedcdr.eri.ucsb.edu/
Kelp Sinking Depth Transect Mohawk Reef ,"University Of California, Santa Barbara",,Academic,Biomass Sinking ,"Biomass Sinking,Macroalgae Sequestration",Operating,05/2024,June 2024,Weeks,"To place kelp biomass packaged in a variety of package types on the seafloor along a depth transect (20, 50, and 85 ft) offshore Mohawk Reef. Primary goal is to quantify kelp degradation rates using the difference in kelp wet weight.",,N/A,,,Internal,"MRV is done internally

Measurements and verification is done internally.

We used deployable miniDOT Dissolved Oxygen sensors. These sensors are owned by the University of California and paid with funds awarded from ARPA-e.

Methodologies are designed and defined internally. ","Moorings,Underwater cameras,Dive teams,Oxygen Sensor","Dissolved oxygen,Temperature,Biomass wet weight",,,"https://www.google.com/maps/place/34%C2%B014'19.8%22N+119%C2%B026'34.8%22W/@34.2388377,-119.4455749,17z/data=!3m1!4b1!4m4!3m3!8m2!3d34.2388333!4d-119.443?entry=ttu",,,"Sequestration nearby,Long-term burial site within range,Macroalgae supply,Offshore,Near-shore,Suitable ocean conditions (general),Shallow water",34.2368430,-119.4430000,https://seaweedcdr.eri.ucsb.edu/
Kelp Sinking Depth Transect Arroyo Quamado ,"University Of California, Santa Barbara",,Academic,Biomass Sinking ,"Biomass Sinking,Macroalgae Sequestration",Operating,05/2024,June 2024,Weeks,"To place kelp biomass packaged in a variety of package types on the seafloor along a depth transect (20, 50, and 85 ft) offshore Arroyo Quamado as well as at a depth of 100 meters. Primary goal is to quantify kelp degradation rates using the difference in kelp wet weight.",,N/A,,,Internal,"MRV is done internally

Measurements and verification is done internally.

We used deployable miniDOT Dissolved Oxygen sensors. These sensors are owned by the University of California and paid with funds awarded from ARPA-e.

Methodologies are designed and defined internally.","Underwater cameras,Moorings,Dive teams,Oxygen Sensor","Dissolved oxygen,Temperature,Biomass wet weight",,,Arroyo Quamado California,,,"Macroalgae supply,Sequestration nearby,Offshore,Near-shore,Suitable ocean conditions (general)",34.2811300,-120.0784000,https://seaweedcdr.eri.ucsb.edu/
"Sequim Bay, WA, USA",Ebb Carbon,,Start-up,Electrochemical Ocean Alkalinity Enhancement ,Electrochemical Ocean Alkalinity Enhancement,Operating,07/2023,,Weeks,"Running experiments to measure and model CO2 removal via Ebb's process. The key goals are:
- Developing advanced ocean modeling tools to better understand how Ebb’s process removes carbon and mitigates ocean acidification locally
- Researching impacts on local marine life including oysters and eelgrass epifauna—an important food source for salmon
- Publishing  research to drive understanding and transparency

","Running experiments on kinetics, CDR uptake, optimizing alkalinity dosing, sensors.",100,,"NOAA,PNNL",Modeling-Internal,"- working with Salish Sea Model to do OAE modeling to establish what 100 ton unit looks like for regional near-field modeling as well as Salish Bay
- PNNL had to do a lot of work on the grid model",Tanks or Mesocosms,"pCO2,Salinity,Temperature,Dissolved oxygen,Turbidity",,Expect by summer 2024 to do live field trials through PNNL,https://goo.gl/maps/r1DZp7JqpeHGQCAw8,"Renewable Energy,Seawater","Alkaline hydroxides,Green hydrogen","Renewable energy nearby,Existing infrastructure available,Offshore",48.0528616,-123.0211878,https://www.ebbcarbon.com/site-sequim-pnnl
"Beach Nourishment in Southampton, New York",Vesta,City of Southampton,Start-up,Mineral-Based Ocean Alkalinity Enhancement,"Enhanced Weathering,Mineral-Based Ocean Alkalinity Enhancement",Operating,07/2022,ongoing,Years,"Beach nourishment project with a 2 years (minimum) ecological study that will test long term impact of adding 500 cubic yards of olivine, ","Understand any environmental impacts both positive or negative - if there were any negative how to change the designs of projects to help mitigate against them.

Assess real world carbon removal rates, but secondarily understand the factors that influence those removal rates → how to design the projects to increase efficiency (safety thresholds, coastal geomorphology etc.).

Field test MRV approach.

Generate peer-reviewed publications, publish everything they’re doing at the field sites, develop third-party consensus around findings.
",500,,"Stony Brook University,Hamilton College,Cornell Cooperative Extension,Southcoastal",Measurement-Internal,"'- ecological surveys
    - monitoring sand conditions through things like moisture potential and temperature at the beach
- full carbonate system, major cations, trace metals, nutrients, dissolved oxygen, turbidity, chlorophyll a, ion and sulfite, DOC
        - water column surveys (trace metals)
        - wave buoys (publicly available at Aqualength.org)
        - installed permanent ex situ sonde (turbidity, chloroyphll, pH)
- poor waters (within poor spaces close to sediments) - this is the main area they are interested in right around the area where they have added sediments
- sonde and buoy is continuous; discrete surveys are done on different timelines
        - ecology 4 times a year
- full gridded sediment surveys 4 times a year
        - subsets on weekly basis (sediment core collection alongside water surveys)
- various water surveys every other week
",,,Partially covered in annual monitoring report available on website.,,https://goo.gl/maps/JSXBVeYwmKFiXv9K9,Alkaline rocks,De-acidified and decarbonized seawater,"Permittability,Green alkalinity supply nearby,Community Engagement,No high-risk marine ecosystems,Existing laboratories nearby,No downwelling zones nearby,High energy wave environment",40.8840142,-72.4338870,https://www.vesta.earth/southampton
Multiple tests include sargassum baling and sinking in Mexico,Seafields Solutions,,Start-up,Biomass Sinking ,Biomass Sinking,Concluded,09/2021,July 2022,Years,"' - Monitoring Sargassum mats with multispectral drone
 - Determine loss of carbon, nitrogen and phosphorous due to Sargassum decomposition (wet and dry)
 - Bale Sargassum and conduct sinking tests
 - Collect water samples of Sargassum mats before and after harvesting to determine bycatch via eDNA
 - Collect Sargassum samples before and after harvesting to determine bycatch of invertebrates under microscope
 - Measure carbon uptake of Sargassum under different nutrient regimes
 - determine decomposition rate of fresh, decomposed, dried and processed Sargassum
 - Measure pCO2 concentration upstream, downstream and inside mat
 - determine fucoidan production of Sargassum","Determined how to process Sargassum so it is negatively buoyant for sinking. 
Measured loss in carbon during wet decomposition. This shows that carbon is released back into the atmosphere when Sargassum beaches and that harvesting of Sargassum before beaching can prevent this loss.
Bycatch study to determine whether the methods currently used to harvest Sargassum are safe for wildlife.",N/A,,"Alfred-Wegener-Institute,GEOMAR,Unidad Académica de Sistemas Arrecifales,Carbonwave,Collecte Localisation Services",N/A,"Processing of Sargassum for sinking was established, Measurements of pCO2 concentration to provide information on how CO2 removed from the ocean is equilibrated with the atmosphere
Carbon uptake data to provide information on how fast Sargassum grows and how much carbon is taken up in the process","Drones,Boat-based measurements,Satellites,Bottle samples","Particulate organic carbon,Particulate organic nitrogen,Particulate organic phosphorus,Particulate inorganic carbon,Dissolved organic carbon,Biomass sinking speed,Sinking speed,Nutrients,Dissolved oxygen,pCO2,Air-sea gas exchange,Visual,eDNA,Biological samples,Carbon-13,Invertebrate community,Polysaccharide concentration","Sargassum has to be processed in order to be sunk, baling it without processing will not burst the aerocysts.",Follow up trial happened in July 2022 (see Mexico 2),"https://www.google.com/maps/search/20.847501,+-86.875137?entry=tts",,,,20.8417589,-86.8853779,https://www.seafields.eco/roadmap
