trial_name,leading_organization,other_leading_organization,organization_type,all_cdr_methods,collaborators,mrv_provider,mrv_strategy,monitoring_platforms,measurements
Medium size one hundred ton per year Direct Ocean Capture plant at AltaSea,Captura,[],"{""Startup""}","{""Direct Ocean Capture""}","{""Southern California Coastal Water Research Project""}","{""MeasurementInternal"",""ModelingInternal""}",Captura approach measures direct stream of CO2 that is removed from seawater Atmospheric drawdown will rely on modeling Pilot studies will try to do as many in situ measurements as possible but at the end of day models are neededWe’ll be taking measure...,"{""Bottle samples"",""Autonomous Buoys""}","{""Stream of CO2"",""Temperature"",""Salinity"",""pH"",""Dissolved oxygen"",""Turbidity"",""Total algae""}"
First of a kind one ton per year Direct Ocean Capture machine at Alta Sea,Captura,[],"{""Startup""}","{""Direct Ocean Capture""}",[],"{""MeasurementInternal"",""ModelingInternal""}",Captura approach measures direct stream of CO2 that is removed from seawater Atmospheric drawdown will rely on modeling Pilot studies will try to do as many in situ measurements as possible but at the end of day models are neededWe’ll be taking measure...,[],"{""Stream of CO2""}"
Equatics electrochemical plant at AltaSea CA,Equatic,[],"{""Startup""}","{""Electrochemical Ocean Alkalinity Enhancement"",""Direct Ocean Capture""}","{""UCLA""}","{""Internal"",""CertificationThird Party""}",Primary CDR measured by online turbidity sensors Secondary CDR measured by comparing ion solutions in solution and solids quantity both in an closed system MRV process done in house with process certified by third party to get ISO certified,[],"{""Turbidity""}"
Traceability of alkaline plume in San Francisco Bay NOPP,University of Hawaii Manoa,"{""CWorthy"",""University of California"",""Los Angeles"",""American University"",""Ebb Carbon""}","{""Academic"",""Startup"",""Focused Research Organization""}","{""Electrochemical Ocean Alkalinity Enhancement""}","{""CWorthy"",""NOAA"",""University of Hawaii""}",[],Use sodium hydroxide and ³He and SF₆ tracer release experiment,"{""Boatbased measurements"",""Bottle samples""}",[]
Kelp Sinking Santa Barbara Basin 580 meters,University Of California Santa Barbara,[],"{""Academic""}","{""Biomass Sinking"",""Biomass Burial"",""Macroalgae Sequestration"",""Anoxic Zone Storage""}","{""Woods Hole Oceanographic Institutions"",""University of California"",""Los Angeles""}","{""Internal""}",MRV is done internallyMeasurements and validation are done by researchers and graduate students at UCSBNo Sensors were used in this field trialNo autonomous plateforms were used HOV Alvin is a submersible belonging to WHOI NSF and the US NAVY,"{""Underwater cameras"",""Deepsea cameras"",""Human Operated Vehicles HOV""}","{""Hydrogen sulfide concentration"",""Sulfate"",""Pore water geochemistry"",""Carbon content of sediments"",""Other"",""Degradation rates""}"
Kelp Sinking Depth Transect Mohawk Reef,University Of California Santa Barbara,[],"{""Academic""}","{""Biomass Sinking"",""Macroalgae Sequestration""}",[],"{""Internal""}",MRV is done internallyMeasurements and verification is done internallyWe used deployable miniDOT Dissolved Oxygen sensors These sensors are owned by the University of California and paid with funds awarded from ARPAeMethodologies are designed and defin...,"{""Moorings"",""Underwater cameras"",""Dive teams"",""Oxygen Sensor""}","{""Dissolved oxygen"",""Temperature"",""Biomass wet weight""}"
Kelp Sinking Depth Transect Arroyo Quamado,University Of California Santa Barbara,[],"{""Academic""}","{""Biomass Sinking"",""Macroalgae Sequestration""}",[],"{""Internal""}",MRV is done internallyMeasurements and verification is done internallyWe used deployable miniDOT Dissolved Oxygen sensors These sensors are owned by the University of California and paid with funds awarded from ARPAeMethodologies are designed and defin...,"{""Underwater cameras"",""Moorings"",""Dive teams"",""Oxygen Sensor""}","{""Dissolved oxygen"",""Temperature"",""Biomass wet weight""}"
Sequim Bay WA USA,Ebb Carbon,[],"{""Startup""}","{""Electrochemical Ocean Alkalinity Enhancement""}","{""NOAA"",""PNNL""}","{""ModelingInternal""}",working with Salish Sea Model to do OAE modeling to establish what 100 ton unit looks like for regional nearfield modeling as well as Salish Bay PNNL had to do a lot of work on the grid model,"{""Tanks or Mesocosms""}","{""pCO2"",""Salinity"",""Temperature"",""Dissolved oxygen"",""Turbidity""}"
Beach Nourishment in Southampton New York,Vesta,"{""City of Southampton""}","{""Startup""}","{""Enhanced Weathering"",""MineralBased Ocean Alkalinity Enhancement""}","{""Stony Brook University"",""Hamilton College"",""Cornell Cooperative Extension"",""Southcoastal""}","{""MeasurementInternal""}",ecological surveys monitoring sand conditions through things like moisture potential and temperature at the beach full carbonate system major cations trace metals nutrients dissolved oxygen turbidity chlorophyll a ion and sulfite DOC water column surve...,[],[]
Multiple tests include sargassum baling and sinking in Mexico,Seafields Solutions,[],"{""Startup""}","{""Biomass Sinking""}","{""AlfredWegenerInstitute"",""GEOMAR"",""Unidad Académica de Sistemas Arrecifales"",""Carbonwave"",""Collecte Localisation Services""}",[],Processing of Sargassum for sinking was established Measurements of pCO2 concentration to provide information on how CO2 removed from the ocean is equilibrated with the atmosphereCarbon uptake data to provide information on how fast Sargassum grows and...,"{""Drones"",""Boatbased measurements"",""Satellites"",""Bottle samples""}","{""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Particulate inorganic carbon"",""Dissolved organic carbon"",""Biomass sinking speed"",""Sinking speed"",""Nutrients"",""Dissolved oxygen"",""pCO2"",""Airsea gas exchange"",""Visual"",""eDNA"",""Biological samples"",""Carbon13"",""Invertebrate community"",""Polysaccharide concentration""}"
First of a kind Direct Ocean Capture facility on the North Sea Coast,SeaO2,[],"{""Startup""}","{""Direct Ocean Capture""}","{""NIOZ""}","{""Several""}",MRV internally and externally through modeling and measurements Verification via external party which still needs to be confirmedGeneral available sensors to measure water pH temperature DIC and O2 level,"{""Bottle samples"",""Tanks or Mesocosms""}","{""pH"",""Dissolved inorganic carbon"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Current"",""Airsea gas exchange"",""Wind speed"",""Stream of CO2"",""Total suspended solids"",""Flow velocity""}"
Testing decomposition rate of materials in the anoxic Black Sea,Rewind,[],"{""Startup""}","{""Biomass Sinking"",""Anoxic Zone Storage""}",[],"{""MeasurementInternal""}",The dry mass of the different OM was measured prior and following its deployment All measurements were internal,"{""Bottle samples"",""Boatbased measurements"",""Moorings""}","{""Temperature"",""Dissolved oxygen"",""Dry mass""}"
Tests of the impact of materials used in research deployments off the Icelandic coastal shelf,Running Tide,[],"{""Startup""}","{""Biomass Sinking"",""MineralBased Ocean Alkalinity Enhancement""}","{""Sjótækni""}",[],,"{""Bottle samples""}","{""Salinity"",""Temperature"",""Current"",""Dissolved oxygen"",""Sediment cores"",""Microbial analysis""}"
Fixed coastal sites in Iceland for RD,Running Tide,[],"{""Startup""}","{""Biomass Sinking"",""MineralBased Ocean Alkalinity Enhancement""}",[],"{""MeasurementInternal""}",,"{""Bottle samples""}","{""Algal growth""}"
Pilot Project for Coastal Carbon Capture Duck North Carolina,Vesta,[],"{""Startup""}","{""Enhanced Weathering"",""MineralBased Ocean Alkalinity Enhancement""}","{""US Army Corps of Engineers"",""Coastal Studies Institute"",""University of North Carolina Wilmington"",""Hourglass Climate"",""University of North Carolina Greensboro""}","{""VerificationThird Party""}",The monitoring program encompasses a suite of hydrodynamic geochemical sedimentological and ecological parameters observed pre and post deployment in both control and treatment areas This follows a BeforeAfterControlImpact BACI design Vesta began colle...,"{""Multiparameter Sonde Deployments"",""Bottle samples"",""Benthic Flux Chambers"",""Sediment Core Surveys""}","{""pH"",""Dissolved oxygen"",""Total algae"",""Turbidity"",""Temperature"",""Salinity"",""Iron"",""Hydrogen sulfide concentration"",""Total alkalinity"",""Dissolved inorganic carbon"",""Nutrients"",""Trace metals"",""Total inorganic carbon"",""Total organic carbon"",""Microbial analysis"",""Benthic fauna analysis"",""Phytoplankton"",""Zoooplankton""}"
Impacts of varying SiN ratio in artificially upwelled water on trophic transfer and carbon export in Gran Canaria 2019,GEOMAR,[],"{""Research Institution""}","{""Artificial Upwelling""}","{""Bigelow Laboratory for Ocean Sciences"",""University Las Palmas Gran Canaria""}","{""MeasurementInternal""}",Internal covering over 40 physical chemical and biological paramters,"{""Tanks or Mesocosms"",""Bottle samples"",""Dive teams""}","{""Total alkalinity"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""Biological samples"",""Species richness"",""evenness and diversity"",""Microbial analysis""}"
Effects of artificial upwelling on the ecology and biogeochemistry of a natural oligotrophic plankton community Gran Canaria 2018,GEOMAR,[],"{""Research Institution""}","{""Artificial Upwelling""}","{""Southern Cross University""}","{""MeasurementInternal""}",Internal covering over 45 physical chemical and biological paramters,"{""Tanks or Mesocosms"",""Bottle samples"",""Underwater cameras"",""Dive teams""}","{""Total alkalinity"",""Dissolved inorganic carbon"",""Particulate inorganic carbon"",""Particulate organic carbon"",""Particulate organic nitrogen"",""Particulate organic phosphorus"",""Dissolved oxygen"",""Temperature"",""Salinity"",""Nutrients"",""Algal growth"",""Total algae"",""Phytoplankton"",""Chlorophylla"",""eDNA"",""Biological samples"",""Microbial analysis"",""Species richness"",""evenness and diversity""}"
